E:\geetansh\python\college\pp_project>py -m cProfile main.py
         108188 function calls (104310 primitive calls) in 65.865 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
  870/108    0.005    0.000   18.674    0.173 <frozen importlib._bootstrap>:1009(_handle_fromlist)
      551    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:103(release)
      228    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:143(__init__)
      228    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap>:147(__enter__)
      228    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:151(__exit__)
      551    0.010    0.000    0.021    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      226    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:176(cb)
      323    0.003    0.000    0.013    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   335/11    0.002    0.000   31.657    2.878 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     2100    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
      211    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:307(__init__)
      211    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:311(__enter__)
      211    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap>:318(__exit__)
      844    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
      168    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
      219    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:369(__init__)
      361    0.002    0.000    0.020    0.000 <frozen importlib._bootstrap>:403(cached)
      481    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:416(parent)
      211    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
       18    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
      211    0.007    0.000    0.034    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
   211/83    0.003    0.000   27.522    0.332 <frozen importlib._bootstrap>:576(module_from_spec)
      226    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap>:58(__init__)
   211/11    0.007    0.000   31.149    2.832 <frozen importlib._bootstrap>:663(_load_unlocked)
      219    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:719(find_spec)
       18    0.000    0.000    0.066    0.004 <frozen importlib._bootstrap>:740(create_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(exec_module)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(is_package)
      551    0.008    0.000    0.008    0.000 <frozen importlib._bootstrap>:78(acquire)
      201    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:792(find_spec)
      621    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:855(__enter__)
      621    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:859(__exit__)
      219    0.010    0.000    2.967    0.014 <frozen importlib._bootstrap>:882(_find_spec)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:929(_sanity_check)
   227/10    0.006    0.000   31.880    3.188 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
   228/10    0.013    0.000   31.883    3.188 <frozen importlib._bootstrap>:978(_find_and_load)
        6    0.000    0.000    0.054    0.009 <frozen importlib._bootstrap>:994(_gcd_import)
       25    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1029(__init__)
     25/8    0.001    0.000   27.500    3.437 <frozen importlib._bootstrap_external>:1040(create_module)
    25/21    0.000    0.000    0.960    0.046 <frozen importlib._bootstrap_external>:1048(exec_module)
       18    0.009    0.001    0.019    0.001 <frozen importlib._bootstrap_external>:1190(_path_hooks)
      463    0.002    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
      201    0.007    0.000    2.948    0.015 <frozen importlib._bootstrap_external>:1240(_get_spec)
      201    0.001    0.000    2.949    0.015 <frozen importlib._bootstrap_external>:1272(find_spec)
       18    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1325(<genexpr>)
      193    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:1351(_get_spec)
      401    0.024    0.000    2.918    0.007 <frozen importlib._bootstrap_external>:1356(find_spec)
       18    0.003    0.000    0.053    0.003 <frozen importlib._bootstrap_external>:1404(_fill_cache)
       18    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       18    0.000    0.000    0.010    0.001 <frozen importlib._bootstrap_external>:1445(path_hook_for_FileFinder)
      336    0.009    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      401    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      193    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      168    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      168    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      168    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      504    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      168    0.004    0.000    0.121    0.001 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     1939    0.011    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      193    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1939    0.009    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      336    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
   168/10    0.004    0.000   30.825    3.082 <frozen importlib._bootstrap_external>:722(exec_module)
      830    0.004    0.000    2.863    0.003 <frozen importlib._bootstrap_external>:74(_path_stat)
      168    0.014    0.000    4.513    0.027 <frozen importlib._bootstrap_external>:793(get_code)
      261    0.003    0.000    2.682    0.010 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      168    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      168    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      168    1.158    0.007    4.300    0.026 <frozen importlib._bootstrap_external>:914(get_data)
      243    0.001    0.000    2.676    0.011 <frozen importlib._bootstrap_external>:93(_path_isfile)
      168    0.001    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       18    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.172    0.172 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:277(DibImageFile)
        2    0.000    0.000    0.000    0.000 BmpImagePlugin.py:49(_accept)
        2    0.000    0.000    0.000    0.000 BmpImagePlugin.py:53(_dib_accept)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:60(BmpImageFile)
        1    0.000    0.000    0.059    0.059 GifImagePlugin.py:27(<module>)
        2    0.000    0.000    0.000    0.000 GifImagePlugin.py:41(_accept)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:50(GifImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:20(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        2    0.000    0.000    0.142    0.071 Image.py:1884(resize)
        1    0.000    0.000    0.000    0.000 Image.py:2585(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2594(ImageTransformHandler)
        1    0.001    0.001    7.836    7.836 Image.py:27(<module>)
        2    0.000    0.000    0.000    0.000 Image.py:2883(_decompression_bomb_check)
        2    0.000    0.000    1.692    0.846 Image.py:2903(open)
        2    0.000    0.000    0.001    0.001 Image.py:2968(_open_core)
        7    0.000    0.000    0.000    0.000 Image.py:3116(register_open)
        7    0.000    0.000    0.000    0.000 Image.py:3131(register_mime)
        2    0.000    0.000    1.645    0.822 Image.py:314(preinit)
        7    0.000    0.000    0.000    0.000 Image.py:3142(register_save)
        3    0.000    0.000    0.000    0.000 Image.py:3153(register_save_all)
       15    0.000    0.000    0.000    0.000 Image.py:3165(register_extension)
        4    0.000    0.000    0.000    0.000 Image.py:3176(register_extensions)
        1    0.000    0.000    0.000    0.000 Image.py:3286(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3322(Exif)
        2    0.000    0.000    0.000    0.000 Image.py:386(_getdecoder)
        1    0.000    0.000    0.000    0.000 Image.py:440(_E)
        1    0.000    0.000    0.000    0.000 Image.py:481(Image)
        4    0.000    0.000    0.000    0.000 Image.py:497(__init__)
        4    0.000    0.000    0.000    0.000 Image.py:510(__getattr__)
       18    0.000    0.000    0.000    0.000 Image.py:529(size)
        2    0.000    0.000    0.000    0.000 Image.py:533(_new)
        1    0.000    0.000    0.000    0.000 Image.py:657(_ArrayData)
        1    0.000    0.000    0.000    0.000 Image.py:71(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:75(DecompressionBombError)
        6    0.000    0.000    0.000    0.000 Image.py:788(load)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        2    0.000    0.000    0.037    0.018 ImageFile.py:145(load)
        2    0.000    0.000    0.000    0.000 ImageFile.py:216(<listcomp>)
        2    0.000    0.000    0.000    0.000 ImageFile.py:218(<lambda>)
        2    0.000    0.000    0.000    0.000 ImageFile.py:276(load_prepare)
        2    0.000    0.000    0.000    0.000 ImageFile.py:284(load_end)
        1    0.000    0.000    0.001    0.001 ImageFile.py:30(<module>)
